DateTime	ClassName	FunctionName	Parameters	Line	StackDepth
2017-11-18T17:25:07.323	org.jfree.chart.XYBarChartTest	setUp	()	80 	1
2017-11-18T17:25:07.430	org.jfree.chart.XYBarChartTest	createChart	()	150 	2
2017-11-18T17:25:07.494	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	3
2017-11-18T17:25:07.498	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:25:07.502	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:25:07.503	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:25:07.505	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:25:07.507	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:25:07.508	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:25:07.509	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:25:07.511	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
2017-11-18T17:25:07.512	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:25:07.513	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:25:07.514	org.jfree.data.xy.XYDataItem	getY	()	121 	7
2017-11-18T17:25:07.520	org.jfree.data.xy.XYDataItem	getYValue	()	135 	7
2017-11-18T17:25:07.521	org.jfree.data.xy.XYSeries	minIgnoreNaN	(double  double)	669 	7
2017-11-18T17:25:07.522	org.jfree.data.xy.XYSeries	maxIgnoreNaN	(double  double)	688 	7
2017-11-18T17:25:07.523	org.jfree.data.xy.XYSeries	getItemCount	()	347 	6
2017-11-18T17:25:07.524	org.jfree.data.general.Series	fireSeriesChanged	()	333 	6
2017-11-18T17:25:07.525	org.jfree.data.general.Series	notifyListeners	(org.jfree.data.general.SeriesChangeEvent)	346 	7
2017-11-18T17:25:07.527	org.jfree.data.xy.XYSeries	add	(double  double)	415 	3
2017-11-18T17:25:07.529	org.jfree.data.xy.XYSeries	add	(java.lang.Number  java.lang.Number  boolean)	493 	4
2017-11-18T17:25:07.530	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	5
2017-11-18T17:25:07.531	org.jfree.data.xy.XYSeries	add	(org.jfree.data.xy.XYDataItem  boolean)	507 	5
2017-11-18T17:25:07.535	org.jfree.chart.util.Args	nullNotPermitted	(java.lang.Object  java.lang.String)	55 	6
2017-11-18T17:25:07.538	org.jfree.data.xy.XYDataItem	clone	()	216 	6
2017-11-18T17:25:07.540	org.jfree.data.xy.XYDataItem	compareTo	(java.lang.Object)	181 	6
2017-11-18T17:25:07.541	org.jfree.data.xy.XYDataItem	getX	()	97 	7
2017-11-18T17:25:07.542	org.jfree.data.xy.XYSeries	updateBoundsForAddedItem	(org.jfree.data.xy.XYDataItem)	250 	6
2017-11-18T17:25:07.543	org.jfree.data.xy.XYDataItem	getXValue	()	112 	7
